iter	Passed	Remaining
173	29988	142359
174	30168	142221
175	30307	141892
176	30373	141230
177	30571	141178
178	30704	140831
179	30832	140459
180	31004	140289
181	31132	139926
182	31291	139698
183	31437	139418
184	31609	139254
185	31742	138914
186	31985	139061
187	32213	139135
188	32380	138946
189	32499	138548
190	32645	138273
191	32770	137910
192	32954	137795
193	33139	137683
194	33248	137257
195	33412	137060
196	33624	137058
197	33946	137500
198	34164	137515
199	34280	137122
200	34442	136915
201	34628	136800
202	34782	136559
203	34948	136368
204	35108	136154
205	35352	136260
206	35556	136213
207	35725	136033
208	35918	135938
209	36051	135621
210	36204	135380
211	36375	135207
212	36528	134965
213	36747	134969
214	36862	134591
215	37005	134316
216	37171	134124
217	37338	133940
218	37475	133645
219	37632	133425
220	37852	133424
221	38027	133265
222	38144	132906
223	38292	132654
224	38422	132345
225	38584	132144
226	38786	132079
227	38951	131889
228	39109	131675
229	39168	131128
230	39367	131055
231	39528	130853
232	39635	130473
233	39775	130203
234	39884	129836
235	40028	129582
236	40236	129538
237	40391	129321
238	40516	129008
239	40652	128732
240	40873	128727
241	40978	128352
242	41116	128087
243	41234	127758
244	41376	127508
245	41450	127046
246	41613	126861
247	41806	126767
248	41938	126489
249	42082	126248
250	42194	125910
251	42391	125829
252	42520	125546
253	42642	125241
254	42786	125002
255	42880	124622
256	43043	124441
257	43268	124438
258	43332	123973
259	43483	123760
260	43612	123485
261	43749	123234
262	43890	122992
263	44049	122804
264	44162	122488
265	44324	122308
266	44464	122069
267	44578	121758
268	44712	121505
269	44869	121315
270	45019	121103
271	45137	120808
272	45291	120611
273	45404	120304
274	45544	120070
275	45699	119878
276	45832	119626
277	45986	119432
278	46046	118993
279	46166	118714
280	46429	118799
281	46541	118498
282	46653	118198
283	46771	117917
284	46911	117689
285	47033	117420
286	47147	117129
287	47342	117040
288	47506	116875
289	47637	116630
290	47733	116300
291	47904	116152
292	48000	115823
293	48132	115584
294	48267	115351
295	48419	115159
296	48543	114902
297	48654	114614
298	48825	114471
299	49015	114369
300	49183	114215
301	49360	114085
302	49578	114047
303	50032	114547
304	50278	114569
305	50497	114526
306	50667	114372
307	50838	114222
308	50946	113929
309	51085	113707
310	51176	113378
311	51374	113287
312	51595	113247
313	51734	113024
314	51820	112688
315	51888	112314
316	52004	112048
317	52091	111718
318	52213	111465
319	52312	111164
320	52415	110872
321	52477	110495
322	52595	110238
323	52681	109915
324	52783	109627
325	52917	109405
326	53007	109094
327	53153	108899
328	53269	108644
329	53381	108380
330	53472	108075
331	53608	107863
332	53713	107588
333	53838	107355
334	53933	107061
335	54030	106774
336	54120	106475
337	54231	106217
338	54323	105922
339	54479	105753
340	54554	105430
341	54703	105247
342	54804	104976
343	54898	104690
344	55013	104445
345	55093	104137
346	55195	103868
347	55278	103567
348	55401	103342
349	55502	103075
350	55652	102900
351	55746	102624
352	55867	102397
353	55972	102141
354	56126	101976
355	56300	101846
356	56400	101584
357	56505	101330
358	56600	101060
359	56712	100822
360	56805	100551
361	56925	100327
362	57009	100041
363	57094	99759
364	57257	99612
365	57373	99385
366	57489	99158
367	57641	98993
368	57745	98746
369	57854	98509
370	57967	98279
371	58096	98077
372	58216	97860
373	58326	97626
374	58440	97401
375	58553	97174
376	58745	97078
377	58921	96955
378	59022	96709
379	59142	96496
380	59252	96266
381	59386	96075
382	59513	95873
383	59617	95637
384	59761	95463
385	59873	95238
386	60002	95042
387	60090	94781
388	60247	94630
389	60335	94370
390	60434	94128
391	60601	93994
392	60695	93745
393	60787	93495
394	60866	93226
395	60997	93036
396	61125	92843
397	61223	92604
398	61338	92391
399	61424	92136
400	61581	91988
401	61691	91770
402	61798	91548
403	61915	91340
404	62091	91220
405	62202	91006
406	62305	90778
407	62441	90600
408	62531	90357
409	62656	90164
410	62750	89926
411	62848	89696
412	62940	89458
413	63127	89354
414	63244	89152
415	63383	88980
416	63596	88913
417	63746	88756
418	63896	88601
419	64024	88414
420	64155	88233
421	64286	88050
422	64416	87868
423	64552	87693
424	64644	87459
425	64876	87416
426	65063	87309
427	65200	87137
428	65303	86919
429	65423	86724
430	65505	86478
431	65616	86273
432	65731	86073
433	65867	85900
434	65967	85682
435	66076	85475
436	66190	85275
437	66357	85143
438	66447	84913
439	66610	84777
440	66718	84570
441	66795	84326
442	66907	84125
443	66993	83892
444	67085	83668
445	67196	83468
446	67408	83393
447	67533	83211
448	67626	82989
449	67711	82758
450	67809	82544
451	67895	82315
452	68021	82136
453	68116	81919
454	68204	81695
455	68309	81492
456	68398	81269
457	68456	81012
458	68608	80865
459	68688	80634
460	68774	80410
461	68870	80199
462	68955	79976
463	69064	79781
464	69145	79554
465	69215	79316
466	69322	79120
467	69394	78884
468	69468	78652
469	69552	78432
470	69635	78210
471	69727	77999
472	69840	77813
473	69926	77598
474	70013	77383
475	70087	77155
476	70159	76925
477	70307	76779
478	70381	76552
479	70479	76352
480	70548	76121
481	70614	75889
482	70688	75665
483	70780	75460
484	70862	75245
485	70947	75034
486	71025	74816
487	71106	74603
488	71205	74409
489	71298	74208
490	71450	74069
491	71530	73856
492	71623	73657
493	71697	73438
494	71858	73310
495	71933	73093
496	72022	72892
497	72101	72680
498	72208	72497
499	72290	72290
500	72390	72101
501	72492	71914
502	72585	71720
503	72740	71586
504	72812	71370
505	72931	71202
506	73005	70989
507	73087	70785
508	73141	70555
509	73199	70329
510	73286	70131
511	73365	69926
512	73445	69722
513	73541	69535
514	73628	69339
515	73730	69158
516	73807	68953
517	73895	68760
518	73979	68562
519	74073	68375
520	74230	68246
521	74298	68035
522	74429	67882
523	74523	67697
524	74605	67499
525	74693	67309
526	74770	67108
527	74859	66919
528	74926	66711
529	74999	66509
530	75073	66307
531	75140	66101
532	75244	65927
533	75310	65720
534	75373	65511
535	75475	65336
536	75564	65151
537	75713	65018
538	75803	64834
539	75873	64632
540	75999	64480
541	76090	64298
542	76184	64118
543	76252	63917
544	76347	63739
545	76435	63556
546	76517	63367
547	76663	63233
548	76743	63044
549	76821	62853
550	76888	62654
551	76970	62469
552	77049	62280
553	77165	62122
554	77246	61936
555	77328	61751
556	77435	61586
557	77507	61395
558	77629	61242
559	77709	61057
560	77811	60889
561	77881	60697
562	77970	60520
563	78077	60357
564	78162	60178
565	78307	60044
566	78381	59857
567	78479	59689
568	78569	59513
569	78665	59343
570	78758	59172
571	78835	58988
572	78927	58817
573	78991	58624
574	79071	58444
575	79194	58295
576	79282	58122
577	79438	57998
578	79507	57810
579	79618	57654
580	79690	57470
581	79815	57324
582	79897	57147
583	80001	56987
584	80096	56820
585	80204	56663
586	80281	56484
587	80345	56296
588	80487	56163
589	80573	55991
590	80687	55839
591	80759	55658
592	80861	55498
593	80925	55312
594	81023	55150
595	81092	54968
596	81183	54802
597	81268	54632
598	81347	54458
599	81434	54289
600	81501	54108
601	81577	53933
602	81684	53778
603	81749	53597
604	81919	53484
605	82003	53315
606	82152	53189
607	82217	53008
608	82307	52844
609	82381	52670
610	82452	52494
611	82567	52346
612	82627	52164
613	82721	52004
614	82803	51836
615	82876	51663
616	82986	51513
617	83072	51348
618	83181	51198
619	83250	51024
620	83333	50858
621	83470	50726
622	83541	50553
623	83688	50427
624	83746	50247
625	83859	50101
626	83935	49932
627	84061	49794
628	84127	49620
629	84225	49465
630	84285	49289
631	84353	49117
632	84455	48965
633	84520	48792
634	84597	48627
635	84778	48521
636	84877	48368
637	84944	48197
638	85004	48023
639	85102	47870
640	85187	47710
641	85250	47538
642	85326	47374
643	85382	47199
644	85442	47026
645	85527	46868
646	85600	46703
647	85662	46532
648	85748	46375
649	85820	46210
650	85879	46039
651	86016	45910
652	86077	45741
653	86170	45588
654	86231	45419
655	86290	45249
656	86345	45078
657	86440	44928
658	86493	44756
659	86546	44584
660	86648	44438
661	86716	44275
662	86769	44104
663	86843	43944
664	86893	43773
665	86953	43607
666	87033	43451
667	87096	43287
668	87166	43127
669	87243	42970
670	87302	42805
671	87359	42639
672	87480	42505
673	87570	42356
674	87667	42210
675	87733	42049
676	87800	41890
677	87882	41737
678	87950	41579
679	88026	41424
680	88126	41281
681	88191	41121
682	88275	40971
683	88348	40815
684	88408	40655
685	88512	40514
686	88577	40356
687	88681	40215
688	88766	40067
689	88820	39904
690	88886	39748
691	89025	39624
692	89091	39467
693	89182	39322
694	89250	39167
695	89337	39021
696	89422	38873
697	89487	38718
698	89597	38582
699	89671	38430
700	89735	38275
701	89812	38125
702	89882	37972
703	89957	37822
704	90042	37677
705	90097	37519
706	90167	37367
707	90250	37221
708	90319	37070
709	90373	36912
710	90526	36796
711	90591	36643
712	90679	36500
713	90733	36344
714	90791	36189
715	90901	36055
716	90969	35905
717	91042	35757
718	91110	35607
719	91195	35464
720	91266	35316
721	91321	35162
722	91416	35024
723	91487	34876
724	91544	34723
725	91642	34586
726	91705	34436
727	91843	34315
728	91919	34170
729	91999	34027
730	92072	33881
731	92141	33734
732	92209	33587
733	92312	33453
734	92386	33309
735	92518	33185
736	92586	33039
737	92686	32905
738	92736	32752
739	92785	32600
740	92846	32452
741	92904	32303
742	92977	32160
743	93036	32012
744	93099	31866
745	93272	31757
746	93316	31605
747	93366	31454
748	93432	31310
749	93493	31164
750	93565	31022
751	93625	30876
752	93672	30726
753	93776	30595
754	93839	30451
755	93886	30301
756	93934	30153
757	94022	30017
758	94097	29878
759	94145	29730
760	94211	29588
761	94258	29440
762	94309	29293
763	94352	29145
764	94417	29003
765	94464	28857
766	94509	28710
767	94553	28563
768	94611	28420
769	94663	28276
770	94702	28128
771	94757	27985
772	94863	27857
773	94909	27712
774	94951	27566
775	94996	27421
776	95060	27282
777	95104	27137
778	95143	26991
779	95188	26847
780	95249	26708
781	95291	26564
782	95339	26422
783	95378	26277
784	95420	26134
785	95501	26001
786	95555	25861
787	95600	25720
788	95636	25575
789	95703	25440
790	95739	25296
791	95779	25154
792	95822	25012
793	95867	24872
794	95931	24737
795	95969	24595
796	96010	24454
797	96054	24314
798	96101	24175
799	96210	24052
800	96255	23913
801	96299	23774
802	96361	23640
803	96405	23501
804	96444	23362
805	96483	23222
806	96523	23084
807	96584	22950
808	96628	22813
809	96666	22674
810	96713	22538
811	96776	22406
812	96816	22269
813	96858	22132
814	96896	21994
815	96984	21869
816	97054	21739
817	97092	21602
818	97138	21467
819	97198	21336
820	97248	21202
821	97284	21066
822	97325	20931
823	97367	20796
824	97421	20665
825	97465	20531
826	97509	20397
827	97552	20264
828	97661	20144
829	97707	20012
830	97751	19879
831	97798	19747
832	97870	19620
833	97913	19488
834	97958	19356
835	97994	19223
836	98063	19097
837	98103	18965
838	98145	18833
839	98190	18702
840	98233	18572
841	98293	18444
842	98333	18313
843	98380	18184
844	98421	18053
845	98470	17924
846	98546	17801
847	98603	17674
848	98642	17544
849	98684	17414
850	98742	17288
851	98782	17159
852	98825	17030
853	98864	16901
854	98907	16773
855	98968	16648
856	99008	16520
857	99050	16392
858	99092	16265
859	99127	16137
860	99245	16022
861	99282	15894
862	99326	15768
863	99389	15644
864	99426	15517
865	99471	15391
866	99512	15265
867	99558	15140
868	99622	15017
869	99678	14894
870	99724	14769
871	99770	14645
872	99829	14522
873	99878	14399
874	99919	14274
875	99960	14149
876	100003	14025
877	100079	13906
878	100135	13784
879	100176	13660
880	100218	13536
881	100277	13415
882	100319	13292
883	100354	13168
884	100396	13045
885	100437	12923
886	100495	12802
887	100534	12679
888	100574	12557
889	100616	12435
890	100654	12313
891	100769	12200
892	100814	12079
893	100856	11958
894	100915	11839
895	100958	11718
896	100998	11597
897	101045	11477
898	101098	11358
899	101151	11239
900	101202	11119
901	101246	11000
902	101287	10880
903	101341	10761
904	101388	10642
905	101432	10523
906	101473	10404
907	101518	10286
908	101606	10171
909	101656	10053
910	101702	9935
911	101740	9817
912	101798	9700
913	101837	9582
914	101882	9464
915	101922	9346
916	101959	9228
917	102015	9112
918	102055	8995
919	102096	8877
920	102138	8761
921	102176	8643
922	102288	8533
923	102335	8417
924	102373	8300
925	102444	8186
926	102489	8070
927	102537	7955
928	102576	7839
929	102627	7724
930	102684	7610
931	102724	7494
932	102771	7380
933	102801	7264
934	102832	7148
935	102888	7035
936	102918	6919
937	102952	6804
938	102993	6690
939	103023	6575
940	103050	6461
941	103163	6351
942	103254	6241
943	103287	6127
944	103332	6014
945	103361	5900
946	103386	5786
947	103415	5672
948	103440	5558
949	103462	5445
950	103504	5333
951	103530	5220
952	103553	5107
953	103577	4994
954	103603	4881
955	103633	4769
956	103658	4657
957	103682	4545
958	103725	4434
959	103751	4322
960	103780	4211
961	103803	4100
962	103829	3989
963	103852	3878
964	103877	3767
965	103901	3657
966	103942	3547
967	103971	3437
968	103996	3327
969	104022	3217
970	104048	3107
971	104069	2997
972	104093	2888
973	104117	2779
974	104215	2672
975	104241	2563
976	104267	2454
977	104294	2346
978	104318	2237
979	104344	2129
980	104385	2021
981	104411	1913
982	104434	1806
983	104456	1698
984	104482	1591
985	104505	1483
986	104525	1376
987	104548	1269
988	104587	1163
989	104633	1056
990	104664	950
991	104700	844
992	104724	738
993	104748	632
994	104772	526
995	104812	420
996	104835	315
997	104859	210
998	104882	104
999	104905	0
168195	3607
979	168369	3436
980	168511	3263
981	168649	3091
982	168763	2918
983	168917	2746
984	169069	2574
985	169195	2402
986	169460	2232
987	169595	2059
988	169734	1887
989	169900	1716
990	170028	1544
991	170202	1372
992	170356	1200
993	170469	1028
994	170578	857
995	170700	685
996	170912	514
997	171071	342
998	171217	171
999	171335	0
